,STATE,ABBRV,STATEFIPS,AMOUNT,AMOUNT (human-readable)
0,Alabama,AL,01,758223272.6302391,"$758,223,272.63"
1,Alaska,AK,02,184646492.0163368,"$184,646,492.02"
2,Arizona,AZ,04,746248382.4536921,"$746,248,382.45"
3,Arkansas,AR,05,516032165.46594954,"$516,032,165.47"
4,California,CA,06,3253398772.5994873,"$3,253,398,772.60"
5,Colorado,CO,08,606917406.3689504,"$606,917,406.37"
6,Connecticut,CT,09,400296176.6799736,"$400,296,176.68"
7,Delaware,DE,10,191962083.09839666,"$191,962,083.10"
8,District of Columbia,DC,11,149872870.27253678,"$149,872,870.27"
9,Florida,FL,12,2006120578.2446759,"$2,006,120,578.24"
10,Georgia,GA,13,1245302887.0602698,"$1,245,302,887.06"
11,Hawaii,HI,15,211015083.4738897,"$211,015,083.47"
12,Idaho,ID,16,304295454.0752003,"$304,295,454.08"
13,Illinois,IL,17,1200679996.5955424,"$1,200,679,996.60"
14,Indiana,IN,18,838628175.1315744,"$838,628,175.13"
15,Iowa,IA,19,473678824.34090644,"$473,678,824.34"
16,Kansas,KS,20,410560933.8804262,"$410,560,933.88"
17,Kentucky,KY,21,692821013.0004421,"$692,821,013.00"
18,Louisiana,LA,22,649649204.7728052,"$649,649,204.77"
19,Maine,ME,23,302312306.69005346,"$302,312,306.69"
20,Maryland,MD,24,610258892.0219653,"$610,258,892.02"
21,Massachusetts,MA,25,639639294.0560253,"$639,639,294.06"
22,Michigan,MI,26,1178804840.8216128,"$1,178,804,840.82"
23,Minnesota,MN,27,677944285.6403935,"$677,944,285.64"
24,Mississippi,MS,28,548451388.5675128,"$548,451,388.57"
25,Missouri,MO,29,792883918.0396438,"$792,883,918.04"
26,Montana,MT,30,242794510.89058092,"$242,794,510.89"
27,Nebraska,NE,31,305856609.09829116,"$305,856,609.10"
28,Nevada,NV,32,355056164.7408521,"$355,056,164.74"
29,New Hampshire,NH,33,258066944.3830011,"$258,066,944.38"
30,New Jersey,NJ,34,778247281.2193397,"$778,247,281.22"
31,New Mexico,NM,35,336883205.98013127,"$336,883,205.98"
32,New York,NY,36,1858555663.1664207,"$1,858,555,663.17"
33,North Carolina,NC,37,1343564902.8151355,"$1,343,564,902.82"
34,North Dakota,ND,38,195088190.64535418,"$195,088,190.65"
35,Ohio,OH,39,1307390800.0125952,"$1,307,390,800.01"
36,Oklahoma,OK,40,584823517.6768373,"$584,823,517.68"
37,Oregon,OR,41,506819692.6620133,"$506,819,692.66"
38,Pennsylvania,PA,42,1380490237.7462268,"$1,380,490,237.75"
39,Puerto Rico,PR,72,517509174.1485534,"$517,509,174.15"
40,Rhode Island,RI,44,188024659.59943637,"$188,024,659.60"
41,South Carolina,SC,45,714390072.9338605,"$714,390,072.93"
42,South Dakota,SD,46,213891915.5676157,"$213,891,915.57"
43,Tennessee,TN,47,925261554.7485031,"$925,261,554.75"
44,Texas,TX,48,2968986008.0095687,"$2,968,986,008.01"
45,Utah,UT,49,371457856.85623926,"$371,457,856.86"
46,Vermont,VT,50,193511857.90938413,"$193,511,857.91"
47,Virginia,VA,51,958917184.5402184,"$958,917,184.54"
48,Washington,WA,53,785986936.0746913,"$785,986,936.07"
49,West Virginia,WV,54,360018439.4427719,"$360,018,439.44"
50,Wisconsin,WI,55,739933039.0825956,"$739,933,039.08"
51,Wyoming,WY,56,167828882.05128163,"$167,828,882.05"
