"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0400043US01","Alabama -- Rural","1981246","20369"
"0400043US02","Alaska -- Rural","259856","8461"
"0400043US04","Arizona -- Rural","728338","16105"
"0400043US05","Arkansas -- Rural","1281130","18099"
"0400043US06","California -- Rural","1904526","27953"
"0400043US08","Colorado -- Rural","758150","15799"
"0400043US09","Connecticut -- Rural","414518","11839"
"0400043US10","Delaware -- Rural","174206","8821"
"0400043US12","Florida -- Rural","1840671","29928"
"0400043US13","Georgia -- Rural","2490464","25580"
"0400043US15","Hawaii -- Rural","104015","7383"
"0400043US16","Idaho -- Rural","483183","12189"
"0400043US17","Illinois -- Rural","1470724","23555"
"0400043US18","Indiana -- Rural","1788564","22050"
"0400043US19","Iowa -- Rural","1120216","19696"
"0400043US20","Kansas -- Rural","746138","16603"
"0400043US21","Kentucky -- Rural","1808398","17841"
"0400043US22","Louisiana -- Rural","1241850","22932"
"0400043US23","Maine -- Rural","811000","13197"
"0400043US24","Maryland -- Rural","762574","14398"
"0400043US25","Massachusetts -- Rural","536696","16143"
"0400043US26","Michigan -- Rural","2503328","22817"
"0400043US27","Minnesota -- Rural","1450002","24784"
"0400043US28","Mississippi -- Rural","1498574","16752"
"0400043US29","Missouri -- Rural","1783774","20197"
"0400043US30","Montana -- Rural","461222","8868"
"0400043US31","Nebraska -- Rural","504472","11523"
"0400043US32","Nevada -- Rural","160928","9740"
"0400043US33","New Hampshire -- Rural","515961","11155"
"0400043US34","New Jersey -- Rural","444262","14345"
"0400043US35","New Mexico -- Rural","462578","14212"
"0400043US36","New York -- Rural","2306054","25801"
"0400043US37","North Carolina -- Rural","3323561","29795"
"0400043US38","North Dakota -- Rural","306226","8363"
"0400043US39","Ohio -- Rural","2517576","22413"
"0400043US40","Oklahoma -- Rural","1311127","14926"
"0400043US41","Oregon -- Rural","754870","16354"
"0400043US42","Pennsylvania -- Rural","2641151","29838"
"0400043US44","Rhode Island -- Rural","89555","5657"
"0400043US45","South Carolina -- Rural","1612726","20674"
"0400043US46","South Dakota -- Rural","369483","8222"
"0400043US47","Tennessee -- Rural","2213493","21569"
"0400043US48","Texas -- Rural","4279475","46163"
"0400043US49","Utah -- Rural","296233","12574"
"0400043US50","Vermont -- Rural","381741","6740"
"0400043US51","Virginia -- Rural","1985847","19737"
"0400043US53","Washington -- Rural","1133203","20222"
"0400043US54","West Virginia -- Rural","922297","14035"
"0400043US55","Wisconsin -- Rural","1726821","21814"
"0400043US56","Wyoming -- Rural","207357","7627"
"0400043US72","Puerto Rico -- Rural","205906","11032"
