state,stateTotalRecords,BedroomsCount,Fireplace,FireplaceCount,RoomsCount,RoomsFamilyCode,RoomsGameFlag,StoriesCount,UnitsCount
NATIONWIDE,160256585,46,25,21,31,3,2,58,53
AK,510980,23,15,15,18,0,0,37,25
AL,3098778,17,28,26,35,0,0,59,44
AR,2468653,1,18,16,1,0,0,53,33
AZ,3453742,2,1,1,42,0,0,72,55
CA,13270020,73,29,27,44,10,0,56,69
CO,2862777,67,38,30,47,0,0,67,61
CT,1359449,83,47,45,83,0,5,87,84
DC,235796,69,25,25,71,0,0,56,61
DE,500067,60,27,27,61,19,1,69,52
FL,10935635,60,11,10,9,0,0,64,65
GA,4743998,57,54,44,39,4,1,75,70
HI,601447,73,1,1,76,9,0,78,66
IA,2701199,43,17,15,41,0,5,46,18
ID,1148279,50,25,14,17,0,1,45,22
IL,6135835,37,17,14,14,0,2,46,44
IN,3658939,60,26,26,59,14,6,69,50
KS,1676178,59,27,26,59,20,1,61,42
KY,2467051,38,18,13,16,8,0,57,23
LA,2698248,13,3,3,8,0,0,10,37
MA,2582991,80,35,33,77,0,1,84,81
MD,2399039,0,83,37,0,0,0,75,93
ME,708056,51,10,10,45,0,1,55,50
MI,5506716,33,26,23,19,0,2,48,46
MN,3307860,50,21,16,30,5,0,44,35
MO,3393195,45,24,20,37,6,5,60,43
MS,1987035,18,17,9,33,1,0,21,26
MT,969424,46,17,16,31,11,0,50,30
NC,5817386,53,42,28,24,0,0,65,50
ND,767643,10,3,2,8,0,0,11,1
NE,1203405,49,21,20,25,0,1,61,37
NH,705227,75,16,15,53,0,0,78,71
NJ,3271036,15,3,0,8,0,0,66,86
NM,1659783,24,4,1,11,1,0,29,23
NV,1303465,70,31,31,54,28,0,77,66
NY,6538468,43,19,18,18,0,8,70,63
OH,6422353,63,31,25,60,12,4,68,55
OK,2416928,47,28,26,39,0,0,64,39
OR,1995873,64,41,29,12,2,0,53,50
PA,6056555,58,21,21,57,4,3,67,55
RI,426997,78,28,28,78,0,4,83,82
SC,3117768,43,21,15,18,1,0,54,51
SD,736753,20,5,4,10,1,1,18,7
TN,3579436,21,33,27,21,3,1,72,77
TX,14114825,35,24,21,16,0,3,53,48
UT,1446678,51,24,23,48,0,0,59,46
VA,4025790,64,40,32,59,1,6,67,49
VT,353114,43,13,12,43,0,1,33,62
WA,3457433,66,49,42,15,0,0,70,61
WI,3571896,23,8,6,18,2,2,22,39
WV,1511530,44,15,15,45,10,3,45,53
WY,374856,40,17,5,34,0,0,68,29
