"Northeast States",,,,,,,,,,,,
,,,,,,,,,,,,
,,,"Sustained Download Speed",,,,"Percentage of advertised",,,,,
,,"Average Tier Speed",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
STATE,CT,184.56904907542526,203.83784623847424,36,"166.8 - 240.9",18.90640382941881,113.43842297651285,1.1080702684675308,36,"108% - 114%",0.01593423207091952,0.09560539242551712
,MA,149.7608353181462,166.444342826864,42,"131.1 - 201.8",18.054712901076904,117.00791269607853,1.1165852644044196,42,"110% - 114%",0.010799013442760463,0.06998560592115131
,ME,146.69008875158158,172.4366783937717,2,"-32.8 - 377.7",104.73436805263157,148.11676374660698,1.1476899302046095,2,"104% - 126%",0.055056877105263184,0.07786218230417195
,NH,193.28619082019188,207.6133393097165,6,"142.4 - 272.8",33.2529643919849,81.45279519530125,1.0665810812288308,6,"101% - 112%",0.027746642758929005,0.06796511683466573
,NJ,172.58510050236927,189.90929112713692,88,"169.9 - 209.9",10.183991750906955,95.53431081273158,1.0967106220644367,88,"108% - 111%",0.009271426565470725,0.086973690557459
,NY,191.78405475375848,213.80924911859586,126,"192.9 - 234.7",10.666000888728782,119.7255630379484,1.111226353782917,126,"109% - 113%",0.010704644356501522,0.12015933488787572
,PA,138.70963165800097,155.37257931684394,83,"132.6 - 178.1",11.617085122739581,105.83668239398436,1.0920433164306942,83,"107% - 112%",0.011964947283444789,0.10900585750378676
,RI,176.70813933020023,196.31228922293917,6,"93.5 - 299.1",52.45010943482118,128.47600506844967,1.094620255078767,6,"103% - 116%",0.03409191873265039,0.08350780524742481
,VT,100,113.40237239999999,1,,0,0,1.134023724,1,,0,0
