"South States",,,,,,,,,,,,
,,,,,,,,,,,,
,,"Average Tier Speed","Sustained Download Speed",,,,,"Percentage of advertised",,,,
,,"Average Tier Speed",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation",Average,"Unweighted Valid N","95% Confidence Interval","Standard Error of Mean","Standard deviation"
STATE,AL,143.5184386927086,161.8283079282582,29,"102.6 - 221.1",30.21541796589292,162.71500546278617,1.1018196633095718,29,"103% - 117%",0.03706619168223483,0.19960755098167265
,AR,167.17405131063688,194.2414936123839,13,"135.8 - 252.7",29.83055949916467,107.5556118500176,1.147791600844781,13,"108% - 122%",0.036169668151412586,0.13041159313643488
,DC,224.93684119738674,258.4352027721514,2,"9.4 - 507.5",127.0666324285714,179.69935490556261,1.1108659511153864,2,"93% - 129%",0.09128155476190469,0.129091612738788
,DE,112.47474362450136,131.7240831183858,8,"10.4 - 253.1",61.90895689032602,175.10497293334066,1.164902239806759,8,"111% - 122%",0.02642653900472781,0.07474553973413534
,FL,166.2120629662682,185.7077863888432,150,"158.4 - 213",13.942622798249731,170.76155765903803,1.1243620618627144,150,"110% - 114%",0.010208771882406629,0.12503141006184176
,GA,172.1405631043385,189.58690845689577,83,"162.2 - 216.9",13.959114984673041,127.17358989150163,1.0807683935867938,83,"106% - 111%",0.012998469027534813,0.1184216887059203
,KY,194.33960835070332,218.35686530312472,90,"181.1 - 255.6",19.013750311621177,180.3802735393776,1.1171720820536737,90,"107% - 116%",0.024242771636939206,0.2299871255041694
,LA,175.6057652030879,189.90646084244938,13,"129.4 - 250.4",30.885556912897638,111.35945912071371,1.0851364798368852,13,"101% - 116%",0.037731142875358226,0.13604157031896186
,MD,125.38693956170262,141.45992244707298,41,"109.1 - 173.8",16.493157918893587,105.60773922227504,1.1294607146385534,41,"111% - 115%",0.01237255365632147,0.07922299819573042
,MS,8.37188117672395,6.962807830937394,4,"1.5 - 12.5",2.8035659244467475,5.607131848893495,0.7502727587804195,4,"49% - 101%",0.13504562656477412,0.27009125312954824
,NC,219.18148141735497,238.87021900713,58,"193.6 - 284.2",23.10549765244431,175.96622761908705,1.0813105302979826,58,"104% - 112%",0.019657999049793352,0.14971086047851448
,OK,146.94440146052938,171.0447931160787,16,"122.2 - 219.8",24.899596093144304,99.59838437257721,1.1577013790575916,16,"110% - 122%",0.02964466701045027,0.11857866804180107
,SC,231.63479097971387,260.4816215717983,11,"140.7 - 380.2",61.08844882918883,202.60746379124495,1.1122818741907685,11,"100% - 123%",0.05871413765952205,0.1947327645059104
,TN,164.7765628812439,185.95619787054736,15,"114.6 - 257.3",36.402249697381095,140.98530684244096,1.1010991155278778,15,"103% - 117%",0.03746940701336365,0.1451183893550248
,TX,201.99970086261672,226.1090701426458,125,"192.7 - 259.5",17.050158288420988,190.62656480020397,1.1074049503446743,125,"108% - 113%",0.011905316210042937,0.13310548169643086
,VA,142.85093834569457,161.547680617007,77,"137.7 - 185.4",12.147611947526164,106.59486223140115,1.1028267198650246,77,"107% - 113%",0.016155407687933405,0.14176312712541653
,WV,144.5009692390357,169.12065730129547,15,"140.3 - 198",14.70892187407619,56.96740945896307,1.1240378556329744,15,"104% - 121%",0.04274674741170168,0.1655574408300556
